"school_name","average_sat_math","perc_disadvan","size"
"Abington High",516,21.5,"medium"
"Agawam High",514,22.7,"large"
"Amesbury High",534,14.6,"large"
"Andover High",581,6.3,"large"
"Arlington High",592,10.3,"large"
"Ashland High",576,10.3,"large"
"Attleboro High",504,25.6,"large"
"Auburn Senior High",505,15.2,"large"
"Avon Middle High School",481,23.8,"small"
"Barnstable High",513,25.5,"large"
"Bedford High",572,7.8,"large"
"Belchertown High",544,13.5,"large"
"Bellingham High School",518,15.6,"large"
"Belmont High",610,6.5,"large"
"Beverly High",523,23.8,"large"
"Billerica Memorial High School",540,15.2,"large"
"Another Course To College",407,61.4,"small"
"Boston Arts Academy",435,43.6,"medium"
"Boston Community Leadership Academy",431,56,"medium"
"Boston International High School",347,60.3,"medium"
"Boston Latin",647,15.7,"large"
"Boston Latin Academy",557,31.7,"large"
"Brighton High",392,61,"large"
"Charlestown High",433,62.9,"large"
"Community Academy of Science and Health",374,66.8,"medium"
"Dorchester Academy",405,72.7,"small"
"Dr. William Henderson Upper",352,54.7,"medium"
"East Boston High",415,46,"large"
"Excel High School",405,64.6,"medium"
"Fenway High School",437,48.3,"medium"
"Greater Egleston Community High School",403,60,"small"
"Jeremiah E Burke High",380,61.1,"medium"
"Lyon Upper 9-12",389,49.2,"small"
"Madison Park High",358,68.1,"large"
"Margarita Muniz Academy",402,64.4,"small"
"New Mission High School",428,53.1,"small"
"O'Bryant School Math/Science",527,44.7,"large"
"Quincy Upper School",459,63.6,"medium"
"Snowden International School at Copley",390,62.6,"medium"
"TechBoston Academy",402,66.6,"large"
"The English High",362,65.3,"large"
"Urban Science Academy",401,55.1,"medium"
"West Roxbury Academy",372,59.5,"medium"
"Bourne High School",508,24.8,"medium"
"Braintree High",541,17.9,"large"
"Brockton High",453,46.8,"large"
"Brookline High",617,11.7,"large"
"Burlington High",540,8.3,"large"
"Cambridge Rindge and Latin",526,27.4,"large"
"Canton High",537,11.6,"large"
"Carver Middle/High School",517,17.9,"large"
"Chelmsford High",556,8.6,"large"
"Chelsea High",449,46.7,"large"
"Chicopee Comprehensive High School",479,42.4,"large"
"Chicopee High",470,47.4,"large"
"Clinton Senior High",505,33.3,"medium"
"Cohasset Middle/High School",562,4.3,"large"
"Danvers High",523,14.2,"large"
"Dartmouth High",530,15.8,"large"
"Dedham High",520,18,"large"
"Douglas High School",521,12.7,"medium"
"Dracut Senior High",508,13.9,"large"
"Duxbury High",565,5.5,"large"
"East Bridgewater JR./SR. High School",500,14.1,"large"
"East Longmeadow High",540,13.7,"large"
"Easthampton High",500,27.6,"medium"
"Oliver Ames High",550,10.5,"large"
"Everett High",439,39.8,"large"
"Fairhaven High",517,21.6,"large"
"B M C Durfee High",477,55.2,"large"
"Falmouth High",540,24.3,"large"
"Fitchburg High",414,54,"large"
"Foxborough High",534,13.6,"large"
"Abby Kelley Foster Charter Public School",472,37.2,"large"
"Acton-Boxborough Regional High",641,4.9,"large"
"Hoosac Valley Middle & High School",489,39.2,"large"
"Advanced Math and Science Academy Charter School",658,6.1,"large"
"Amherst Regional High",601,21.9,"large"
"Oakmont Regional High School",514,14.1,"large"
"Assabet Valley Vocational High School",438,22.5,"large"
"Athol High",473,45.3,"medium"
"Ayer Shirley Regional High School",511,25.2,"medium"
"Berkshire Arts and Technology Charter Public School",502,41.9,"medium"
"Monument Mt Regional High",522,22.1,"large"
"Tahanto Regional High",528,9.4,"large"
"Blackstone Valley",502,10,"large"
"Blackstone Millville RHS",514,17.9,"medium"
"Blue Hills Regional Vocational Technical",446,22.7,"large"
"Boston Collegiate Charter School",536,29.4,"large"
"Boston Day and Evening Academy Charter School",409,56.2,"medium"
"Boston Green Academy Horace Mann Charter School",357,61.1,"medium"
"Boston Preparatory Charter Public School",489,39,"medium"
"Bridgewater-Raynham Regional",531,12,"large"
"Bristol County Agricultural High",511,17.1,"medium"
"Bristol-Plymouth Vocational Technical",469,26.2,"large"
"Cape Cod Region Vocational Technical",448,35.8,"large"
"Wahconah Regional High",509,21.2,"large"
"City on a Hill Charter Public School Circuit Street",460,56.3,"small"
"Codman Academy Charter Public School",406,51.8,"medium"
"Community Charter School of Cambridge",475,34.8,"medium"
"Concord Carlisle High",635,5.4,"large"
"Dennis-Yarmouth Regional High",478,34.3,"large"
"Dighton-Rehoboth Regional High School",547,14,"large"
"Dover-Sherborn Regional High",620,3.4,"large"
"Shepherd Hill Regional High",525,17.2,"large"
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School)",397,54,"medium"
"Essex Technical High School",471,21,"large"
"Four Rivers Charter Public School",535,29.5,"small"
"Foxborough Regional Charter School",498,17,"large"
"Framingham High School",562,22.7,"large"
"Francis W. Parker Charter Essential School",538,5.3,"medium"
"Franklin High",556,5.9,"large"
"Apponequet Regional High",518,10.8,"large"
"Frontier Regional",522,17.5,"large"
"Gardner High",463,41.5,"large"
"Gateway Regional High",521,28.6,"small"
"Georgetown High School",534,10.2,"medium"
"Turners Fall High",506,34.6,"small"
"Global Learning Charter Public School",468,49.7,"medium"
"Gloucester High",509,32.6,"large"
"Grafton High School",553,10.8,"large"
"Granby Jr Sr High School",516,20.5,"medium"
"Diman Regional Vocational Technical High",454,36.1,"large"
"Gr Lawrence Regional Vocational Technical",406,52.1,"large"
"Gr Lowell Regional Vocational Technical",447,43.9,"large"
"Gr New Bedford Vocational Technical",447,36.9,"large"
"Greenfield High",499,44.4,"medium"
"Groton Dunstable Regional",584,3.1,"large"
"Hopkins Academy",556,11.2,"small"
"Hamilton-Wenham Regional High",559,6.3,"large"
"Hampden Charter School of Science",520,41.8,"medium"
"Minnechaug Regional High",534,11.5,"large"
"Hampshire Regional High",533,16.3,"large"
"Hanover High",520,5.7,"large"
"Bromfield",589,5.3,"large"
"Smith Academy",550,14.1,"small"
"Haverhill High",512,34.6,"large"
"Hingham High",569,6.4,"large"
"Holbrook Jr Sr High",473,34.6,"medium"
"Holliston High",581,5.6,"large"
"Holyoke High",482,62,"large"
"Wm J Dean Vocational Technical High",384,83.3,"small"
"Hopedale Jr Sr High",535,9,"medium"
"Hopkinton High",580,3.8,"large"
"Hudson High",512,19.3,"large"
"Hull High",513,27.3,"small"
"Innovation Academy Charter School",526,9.7,"large"
"Ipswich High",514,9,"large"
"King Philip Regional High",544,8.1,"large"
"Phoenix Academy Lawrence",364,72.8,"small"
"Lee Middle/High School",508,28.1,"medium"
"Leicester High",529,19.3,"medium"
"Lenox Memorial High",599,18.9,"medium"
"Center For Technical Education Innovation",555,36.5,"large"
"Leominster High School",501,27.4,"large"
"Lexington High",645,5.6,"large"
"Lincoln-Sudbury Regional High",610,5.5,"large"
"Littleton High School",589,5.4,"medium"
"Longmeadow High",570,5.5,"large"
