quality,fix.acid,vol.acid,citric.acid,lresid.sugar,lchlorides,lfree.so2,ltotal.so2,density,pH,sulphates,alcohol,color
5.2,6.4,0.29,0.18,2.7080502011,-3.2188758249,3.0445224377,4.7535901911,0.99736,3.14,0.5,9.2,white
5.4,6.4,0.45,0.07,0.0953101798,-3.5065578973,2.302585093,4.8751973232,0.9905,2.97,0.28,10.8,white
5.7,6.9,0.26,0.29,1.4350845253,-3.1465551633,3.4965075615,4.7361984484,0.9902,3.16,0.31,12.5,white
5.6,7.6,0.17,0.27,1.5260563035,-2.9957322736,3.1354942159,4.5849674787,0.99422,3.08,0.47,9.5,white
5.6,7.8,0.26,0.74,2.0149030205,-3.1235656451,4.0775374439,5.0751738152,0.996,3.22,0.64,10,white
5.4,5.7,0.695,0.06,1.9169226122,-3.1700856607,2.1972245773,4.4308167988,0.99432,3.44,0.44,10.2,white
4.7,6.9,0.23,0.24,2.6532419646,-2.9374633654,2.9444389792,4.5432947823,0.9982,3.17,0.5,9.6,white
5.3,7,0.29,0.33,-0.1053605157,-3.1941832123,2.9957322736,4.7621739348,0.99048,3.21,0.5,11.4,white
5.7,6.7,0.53,0.29,1.4586150227,-2.6736487744,2.9957322736,4.7361984484,0.99014,3.22,0.59,13.4,white
7.3,6.7,0.19,0.39,0,-3.4420193762,2.6390573296,4.262679877,0.98912,3.31,0.38,13,white
4.6,7.2,0.25,0.32,0.4054651081,-3.0576076773,3.295836866,4.8828019226,0.9933,3.26,0.44,10.5,white
6,6.4,0.38,0.2,1.6677068206,-2.1455813442,4.0430512678,5.1984970313,0.99459,3.24,0.43,9.5,white
7.1,7.5,0.43,0.3,0.7884573604,-2.7806208939,1.7917594692,2.4849066498,0.99495,3.44,0.72,11.5,red
5.9,6.6,0.16,0.34,0.0953101798,-3.2968373663,3.7135720667,4.7449321284,0.9899,3.01,0.68,12,white
6.4,7,0.43,0.3,0.6931471806,-2.4651040225,1.7917594692,3.6635616461,0.99346,3.33,0.46,11.9,red
7.1,5.6,0.18,0.3,2.3223877203,-3.5755507688,3.3322045102,4.8751973232,0.9954,3.49,0.42,10.8,white
6.2,6.2,0.16,0.54,0.3364722366,-2.071473372,3.6109179126,4.7004803658,0.9932,3.23,0.37,8.9,white
5,8.4,1.035,0.15,1.7917594692,-2.6172958378,2.3978952728,3.9889840466,0.999,3.37,0.49,9.9,red
5.9,6.9,0.84,0.21,1.4109869737,-2.6036901858,2.7725887222,4.1743872699,0.99842,3.53,0.72,9.233333333,red
5.7,7,0.14,0.32,2.1972245773,-3.2441936329,3.9889840466,4.9487598904,0.9956,3.22,0.43,9.4,white
