AGLOMERADO,PROVINCIA,ITF,IPCF,PONDIH
32,2,0,0,0
32,2,2550000,850000,3308
32,2,0,0,0
32,2,1125000,1125000,1649
32,2,1005000,1005000,1049
32,2,4000000,4000000,3900
32,2,2370000,2370000,3035
32,2,2000000,1000000,5893
32,2,1300000,1300000,1584
32,2,1250000,312500,2828
32,2,0,0,0
32,2,10500000,5250000,1865
32,2,3020000,755000,3117
32,2,1500000,1500000,2418
32,2,2170000,723333.33,6345
32,2,0,0,0
32,2,1850000,925000,2176
32,2,800000,800000,1904
32,2,0,0,0
32,2,70000,70000,2077
32,2,0,0,0
32,2,1500000,1500000,2263
32,2,3850000,1925000,4390
32,2,0,0,0
32,2,0,0,0
32,2,680000,680000,5560
32,2,0,0,0
32,2,1800000,900000,3484
32,2,0,0,0
32,2,4650000,1550000,3995
32,2,500000,500000,1267
32,2,2900000,2900000,1141
32,2,780000,390000,2192
32,2,0,0,0
32,2,990000,495000,2192
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,1300000,1300000,1258
32,2,3075000,768750,4926
32,2,1285000,1285000,880
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,3000000,3000000,3428
32,2,900000,900000,3428
32,2,0,0,0
32,2,2550000,1275000,2938
32,2,1200000,400000,4304
32,2,3100000,1550000,7971
32,2,0,0,0
32,2,700000,700000,8159
32,2,1680000,840000,7522
32,2,0,0,0
32,2,1770000,885000,10627
32,2,0,0,0
32,2,1650000,825000,8351
32,2,2000000,2000000,3807
32,2,125000,125000,3494
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,890000,445000,3841
32,2,750000,750000,1853
32,2,2080000,1040000,2776
32,2,800000,800000,2796
32,2,1900000,475000,6642
32,2,0,0,0
32,2,0,0,0
32,2,545000,272500,2389
32,2,0,0,0
32,2,3000000,1500000,2656
32,2,3500000,1750000,6453
32,2,3750000,1875000,2953
32,2,2590000,863333.33,2643
32,2,700000,700000,1028
32,2,1000000,250000,2889
32,2,0,0,0
32,2,500000,166666.67,3425
32,2,0,0,0
32,2,12000000,6000000,4123
32,2,1200000,600000,2760
32,2,850000,850000,2815
32,2,1400000,1400000,4229
32,2,800000,800000,3707
32,2,1034000,258500,11069
32,2,0,0,0
32,2,2650000,883333.33,4999
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,595000,297500,4351
32,2,1545000,772500,2011
32,2,0,0,0
32,2,0,0,0
32,2,1000000,1000000,851
32,2,0,0,0
32,2,5160000,1290000,2022
32,2,1970000,985000,1653
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,1075000,1075000,1760
32,2,0,0,0
32,2,2500000,625000,3304
32,2,1500000,1500000,1588
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,2000000,500000,4014
32,2,985000,985000,2241
32,2,1190000,297500,3824
32,2,5800000,1450000,5090
32,2,2000000,500000,6525
32,2,1450000,725000,2322
32,2,660000,660000,3330
32,2,560000,280000,4811
32,2,0,0,0
32,2,520000,520000,3370
32,2,850000,850000,1963
32,2,1900000,950000,1784
32,2,3159000,789750,599
32,2,2400000,1200000,222
32,2,1940000,646666.67,327
32,2,15430000,5143333.33,327
32,2,0,0,0
32,2,0,0,0
32,2,0,0,0
32,2,2280250,1140125,1471
32,2,0,0,0
32,2,975000,975000,1209
32,2,1900000,950000,981
32,2,1200000,1200000,1516
32,2,1275000,425000,1620
32,2,1500000,500000,1969
32,2,0,0,0
