"track_id","track_genre","artists","track_name","popularity","popular_or_not"
"3fvsxmytTns1ApIWBqfANZ","deep-house","Jess Bays;Poppy Baskcomb","Temptation (feat. Poppy Baskcomb)",63,"popular"
"6Nd6ntkzr4t8o1FKPGOSMt","metal","Whitesnake","Here I Go Again - 2018 Remaster",69,"popular"
"7MIKwg3dDCWhxMVjMvqF1O","metal","Blind Melon","No Rain",1,"not popular"
"1fQaoh3imrMunWVZh5kf90","metal","Avenged Sevenfold","Shepherd of Fire",70,"popular"
"2O0vM6F7VMXf66Y5qUuWyE","deep-house","Nora Van Elken","I Wanna Dance With Somebody (Who Loves Me) - Summer Edit",56,"popular"
"7HjNOz8Y7H7uSySXuHNg1Y","metal","Breaking Benjamin","Ashes of Eden",61,"popular"
"577MNC3o3L0lNIzx9abqOk","metal","Bon Jovi","Thank You For Loving Me",67,"popular"
"5KtlHyEw7BMr1uSw2eG28p","deep-house","Starley;Bad Paris","Arms Around Me - Bad Paris Remix",55,"popular"
"7bXWSg5gd0Em0eQ5xpthWF","deep-house","The Him;LissA","I Wonder",43,"not popular"
"4nzIpIeHWiuFQnOV5ZELnj","metal","Deftones","Ohms",0,"not popular"
"2QHkMyf71kpkTiYYsp8qYO","metal","Ghost","Spillways",8,"not popular"
"6UB9mShVLbMm0W4e6vud4C","metal","Metallica","Battery",65,"popular"
"7sOGRoSQfjkMkk1YOEqH84","deep-house","Miguel Migs","Mesmerized",26,"not popular"
"7H4baUrCPnLkLOl6o9zkMO","deep-house","Hadise","Şampiyon - Gürcell Remix",31,"not popular"
"5m5I3KcV83zf2p2qbsnr3y","metal","Steve Vai","For the Love of God",54,"popular"
"2Me8g0TZBRiOOYvjexvYwe","deep-house","Alex Adair","Real for Me",56,"popular"
"1lATXTBJDHwawvT1UfxWu3","metal","TOOL","The Pot",69,"popular"
"3BIDLsbt2mhciopVG1tuBw","metal","Oficina G3","Eu Sou",39,"not popular"
"0gn93i7HJt0calph67R5Wu","deep-house","HUGEL;Amber Van Day","WTF (feat. Amber Van Day)",64,"popular"
"1MNCcudzcgmrjWOwzNo661","metal","Dymytry","Země Krále Miroslava",39,"not popular"
"0XJxz1eTq9ceNyUmOlD7Hl","deep-house","Harold van Lennep","Liberation - Extended Mix",54,"popular"
"1Rt5ZnOyilt6tx1RQQnQsB","metal","Seringai","Dilarang Di Bandung",42,"not popular"
"6V4k01Xr3HsVrfqUyQSIqt","metal","Lamb of God","Ditch",57,"popular"
"5hISmTJXBXdOes4htbUhGk","metal","The HU","Wolf Totem",61,"popular"
"1gPl1vIBXFwInMXHJ5Ug7Y","metal","Oficina G3","A Ele",40,"not popular"
"5toE2GI4iMIpelQtzKNT9Q","metal","Hollywood Undead","Riot",26,"not popular"
"2AwFU2BnJRlEpjDtu04e6S","deep-house","Chris Lorenzo;LP Giobbi;High Jinx","California Dreamin' (feat. High Jinx) (LP Giobbi Remix)",57,"popular"
"3sC7PN1vjzEovhjHlQse3N","metal","Daughtry","Over You",55,"popular"
"6Ww581O9pklqs42MN4Da6q","deep-house","Sonny Fodera;Raphaella","Need U - Spotify Singles",51,"popular"
"5jYntKRDo21t5sEQHx8OM2","deep-house","Deeperise;Jabbar","Move On",50,"not popular"
"3eMOYZRLqXMBw9aqaFR92P","metal","Armored Dawn","S.O.S.",54,"popular"
"1l3n3cIyHjEc7F78owErOa","deep-house","Lucas Estrada;AJ Salvatore;Calica","Kiss Me",46,"not popular"
"2vGDTOtslhkco6LVFfdEI2","metal","Soundgarden","Black Hole Sun",0,"not popular"
"5ydZfP4XcLgy4Wkk0xKXwK","deep-house","James Hype;Pia Mia","Good Luck",0,"not popular"
"73OZcwiBI41R0o5TDGeZ7i","deep-house","Tom Redwood","I've Fallen for You",53,"popular"
"48JXG84ditfbyCQ6r5Z4sD","deep-house","Ömer Balık","Crossroad",41,"not popular"
"3QXEVqeemynLGRqke5zOrC","deep-house","Tez Cadey","Seve - Slow Version",53,"popular"
"3JsmrruMp8AWcbEZ4342JY","deep-house","Route 94;L Devine","Sad Songs (feat. L Devine)",51,"popular"
"7MEHTWzEi3z7P2jEWAcdHZ","metal","Slipknot","Eyeless",66,"popular"
"1ZozJfi8u9cO2Ob8KwiwNT","metal","Creed","Higher",71,"popular"
"1Ai5UrDsntCo4nB1xEq9HW","deep-house","Syn Cole","Getaway",43,"not popular"
"7bIdwhf97APQig4oW2Jtgw","deep-house","Vall;Loé","Let You Go",55,"popular"
"08yTxZ1ZCAwSb9cFaJyP3Z","deep-house","Saxity;Jolie Adamson","Burning Love",27,"not popular"
"0yuJtvXsapVOQfNDYxQ5mw","deep-house","Stephan Bodzin","Singularity",50,"not popular"
"1ZF05CfjZO3ovYTXhUxOxm","deep-house","Alfred Heinrichs","Sehnsucht",28,"not popular"
"5Bk1ArPcnMgeQzSqLjqaSW","metal","Disturbed","Down with the Sickness",42,"not popular"
"2MvIMgtWyK88OiPi0J8Dg3","metal","Slipknot","Psychosocial",66,"popular"
"40CfvDIEJALuQ42PpyqqgL","metal","Breaking Benjamin","Dear Agony",34,"not popular"
"4Vb5Y6RQztThqqqFre24wL","metal","Lamb of God","Omerta",60,"popular"
"6s6bKyK7XSEXpwMKaUVtug","deep-house","Oscar Mbo;C-Blak;Besta Evo","Bozza",32,"not popular"
"3zPfyVThoCzQ6IB5CSGDTz","deep-house","Gorgon City;DRAMA","You've Done Enough",55,"popular"
"6lQzNJLgIn4uEK4NUMUcjv","deep-house","CamelPhat;Elderbrook","Dance with My Ghost (feat. Elderbrook)",54,"popular"
